"","titles","description"
"191","SDG Indicator 2.a.1 <U+0096> Agriculture orientation index","This course focuses on SDG Indicator 2.a.1 <U+0096> Agriculture orientation index for government expenditure. The course illustrates the indicator, its rationale, the methodology and statistical classifications it is based on, and the challenges that countries may face when compiling the data.
The course consists of 4 lessons, ranging from approximately 15 to 30 minutes duration each:
Lesson 1 The role of public finance in Goal 2 and Target 2.a of the 2030 Agenda
Lesson 2 Target 2.a and indicator 2.a.1
Lesson 3 Compilation of Government Expenditure on Agriculture questionnaire
Lesson 4 Countries<U+0092> role in compiling government expenditure data
Watch this video to find out more: https://youtu.be/gcazWN2VG1c
											
							Download syllabus
							
									, This course focuses on SDG Indicator 2.a.1 <U+0096> Agriculture orientation index for government expenditure. The course illustrates the indicator, its rationale, the methodology and statistical classifications it is based on, and the challenges that countries may face when compiling the data., The course consists of 4 lessons, ranging from approximately 15 to 30 minutes duration each:, Watch this video to find out more: https://youtu.be/gcazWN2VG1c, 
					Target audience
					This course is primarily intended for professionals who play a role in the data collection, analysis and reporting on SDG Indicator 2.a.1, as well as for people with an interest in the process. They include policy-makers, data producers, and professionals in charge of compiling the Government Expenditure on Agriculture questionnaire.
				, This course is primarily intended for professionals who play a role in the data collection, analysis and reporting on SDG Indicator 2.a.1, as well as for people with an interest in the process. They include policy-makers, data producers, and professionals in charge of compiling the Government Expenditure on Agriculture questionnaire., 
					Learning objectives
					You will learn about:
Fundamental role of public finance in supporting agriculture
How SDG Indicator 2.a.1 is calculated
How the Indicator can help monitoring Target 2.a of the 2030 Development Agenda
Data collection, compilation and reporting process for SDG Indicator 2.a.1
Role of countries in compiling government expenditure data
, You will learn about:"
"192","Geospatial Information Technology in Fragile Contexts","This self-paced course promotes an interactive approach through lessons and multimedia material, stimulating critical thinking. It provides a lot of flexibility, since you will be able to complete the course at your own pace and timeframe.
Each interactive module is accompanied by a quiz. To receive a Certificate of Completion one needs to achieve a minimum grade of 80% on each quiz.
The e-learning course is structured into 4 modules:
Introduction to GIT in Fragile Contexts
What Can Satellites See?
GIS analysis for Fragile States
How To Use Our Online Platform (E04SDFCV)
, This self-paced course promotes an interactive approach through lessons and multimedia material, stimulating critical thinking. It provides a lot of flexibility, since you will be able to complete the course at your own pace and timeframe., Each interactive module is accompanied by a quiz. To receive a Certificate of Completion one needs to achieve a minimum grade of 80% on each quiz., The e-learning course is structured into 4 modules:, 
					Target audience
					The course is open to public.<U+00A0>
				, The course is open to public.<U+00A0>, 
					Learning objectives
					Differentiate between GIT, GIS, Remote Sensing, and Satellite Navigation Systems
Explain why GIS has become a privileged tool to support states affected by fragility
Identify the main types and availability of remote sensing data
Explain how satellite data can be used to obtain numerous types of information
Analyse a project and identify potential GIS applications
"
"193","Calidad de registros administrativos","Al finalizar el curso, las y los participantes valorar<e1>n la importancia de la calidad de la informaci<f3>n administrativa para la producci<f3>n de informaci<f3>n estad<ed>stica y geogr<e1>fica de calidad, con el fin de fortalecer la toma de decisiones. Asimismo, identificar<e1>n las principales caracter<ed>sticas metodol<f3>gicas de<U+00A0>la Herramienta para la Evaluaci<f3>n de la Calidad de Registros Administrativos (HECRA) y del sistema desarrollado para su aplicaci<f3>n, con el fin de contar con los conocimientos necesarios para participar en acciones de evaluaci<f3>n y mejora de la calidad de los registros administrativos utilizados en la generaci<f3>n de informaci<f3>n estad<ed>stica y geogr<e1>fica.
											
							Download syllabus
							
									, Al finalizar el curso, las y los participantes valorar<e1>n la importancia de la calidad de la informaci<f3>n administrativa para la producci<f3>n de informaci<f3>n estad<ed>stica y geogr<e1>fica de calidad, con el fin de fortalecer la toma de decisiones. Asimismo, identificar<e1>n las principales caracter<ed>sticas metodol<f3>gicas de<U+00A0>la Herramienta para la Evaluaci<f3>n de la Calidad de Registros Administrativos (HECRA) y del sistema desarrollado para su aplicaci<f3>n, con el fin de contar con los conocimientos necesarios para participar en acciones de evaluaci<f3>n y mejora de la calidad de los registros administrativos utilizados en la generaci<f3>n de informaci<f3>n estad<ed>stica y geogr<e1>fica., 
					Target audience
					Personal de las Unidades del Estado que generan o utilizan registros administrativos para la producci<f3>n de informaci<f3>n estad<ed>stica o geogr<e1>fica con conocimientos b<e1>sicos en:
Procesos de generaci<f3>n de informaci<f3>n estad<ed>stica o geogr<e1>fica a partir del aprovechamiento de registros administrativos.
Uso de equipo de c<f3>mputo y navegaci<f3>n en internet.
, Personal de las Unidades del Estado que generan o utilizan registros administrativos para la producci<f3>n de informaci<f3>n estad<ed>stica o geogr<e1>fica con conocimientos b<e1>sicos en:, 
					Learning objectives
					Objetivos
Evaluar y mejorar la calidad de los Registros Administrativos a ser usados con fines estad<ed>sticos.
Detectar problemas y oportunidades de mejora de los registros analizados.
Identificar y analizar las causas de los problemas.
Implementar planes de acciones correctivas y preventivas.
, Objetivos"
"194","SDG Sub-indicator 12.3.1.a <U+0096> Food Loss Index","The course consists of<U+00A0> 5<U+00A0>lessons, of 40 <U+0096> 55<U+00A0>minutes duration each:


Lesson 1:<U+00A0> Introduction to SDG Target 12.3 and Sub-indicator 12.3.1.a
Lesson 2:<U+00A0> Food Loss Index (FLI) & Global Food Loss Index (GFLI)
Lesson 3:<U+00A0> Introduction to Loss Data Collection
Lesson 4:<U+00A0> The Food Loss Estimation Model
Lesson 5:<U+00A0> Monitoring and Reporting
Available in English. Forthcoming in French and Spanish.


									, The course consists of<U+00A0> 5<U+00A0>lessons, of 40 <U+0096> 55<U+00A0>minutes duration each:, Available in English. Forthcoming in French and Spanish., 
					Target audience
					This course is primarily intended for staff/agencies that are either responsible for monitoring food loss, including the data collection, dissemination and analysis, or staff/agencies that will be involved in the estimation and reporting of SDG Sub-indicator 12.3.1.a.
				, This course is primarily intended for staff/agencies that are either responsible for monitoring food loss, including the data collection, dissemination and analysis, or staff/agencies that will be involved in the estimation and reporting of SDG Sub-indicator 12.3.1.a., 
					Learning objectives
					

You will learn about
Understanding the SDG target 12.3 and indicator 12.3.1.a and how it can inform food system policies (and vice versa)
Explaining the importance of measuring and reporting on food losses at<U+00A0> country-level
Understanding definitions and key concepts
Understanding challenges in the measurement, how to strategize and use tools to collect the necessary information








, You will learn about"
"195","E-Learning on Gender Statistics","The United Nations Economic and Social Commission for Western Asia (UN ESCWA) is pleased to present its first e-learning software as part of its integrated Toolkit on Gender Statistics in the Arabic language.<U+00A0> The Gender Statistics Toolkit, developed by the Statistics Division at UN ESCWA, includes two tools:
<U+0095> E-learning on Gender Statistics
<U+0095> The Gender Statistics Curriculum
The Gender Statistics E-learning Software (https://elearning.unescwa.org) is a user-friendly e-learning programme which utilizes a variety of methods to stimulate trainees<U+0092> interest in a curriculum that addresses gender issues and priorities. The Gender Statistics Curriculum includes the following five modules:
<U+0095> Gender concepts and issues
<U+0095> The importance of gender statistics
<U+0095> The conceptual frame of gender statistics analysis
<U+0095> Measurements of gender statistics
<U+0095> Presenting gender statistics
The five modules present concepts and practical examples through animated dialogues among a diverse group of characters from both sexes. To elaborate on and understand gender concepts and issues, various<U+00A0> methods are employed, such as including clips of Arabic movies; animation of popular folkloric story into a colored cartoon, along with hands on exercises in each module.
To deal with statistics and indicators, infographic presentations are used to convey messages through charts and
images of women, men, children, and elderly, reflecting diversity in culture in a harmonious and consistent blend of animation and color. To maintain consistency between the different types of presentations used in this programme, colors in all the screens were harmonized using a flat design.
Moreover, the e-learning platform can be used by individuals with functioning difficulties. Excerpts from the texts are presented under each screen to allow trainees to follow the dialogue easily.
Upon successful completion of the e-learning (https://elearning.unescwa.org), the learner will receive a certificate.
Certified individuals will be eligible to enroll in national and regional workshops based on the Gender Statistics Curriculum, organized by certified focal points. Successful trainees will be awarded an additional certificate of
achievement.
											
							Download syllabus
							
									, The United Nations Economic and Social Commission for Western Asia (UN ESCWA) is pleased to present its first e-learning software as part of its integrated Toolkit on Gender Statistics in the Arabic language.<U+00A0> The Gender Statistics Toolkit, developed by the Statistics Division at UN ESCWA, includes two tools:, <U+0095> E-learning on Gender Statistics, <U+0095> The Gender Statistics Curriculum, The Gender Statistics E-learning Software (https://elearning.unescwa.org) is a user-friendly e-learning programme which utilizes a variety of methods to stimulate trainees<U+0092> interest in a curriculum that addresses gender issues and priorities. The Gender Statistics Curriculum includes the following five modules:
<U+0095> Gender concepts and issues
<U+0095> The importance of gender statistics
<U+0095> The conceptual frame of gender statistics analysis
<U+0095> Measurements of gender statistics
<U+0095> Presenting gender statistics, The five modules present concepts and practical examples through animated dialogues among a diverse group of characters from both sexes. To elaborate on and understand gender concepts and issues, various<U+00A0> methods are employed, such as including clips of Arabic movies; animation of popular folkloric story into a colored cartoon, along with hands on exercises in each module., To deal with statistics and indicators, infographic presentations are used to convey messages through charts and
images of women, men, children, and elderly, reflecting diversity in culture in a harmonious and consistent blend of animation and color. To maintain consistency between the different types of presentations used in this programme, colors in all the screens were harmonized using a flat design., Moreover, the e-learning platform can be used by individuals with functioning difficulties. Excerpts from the texts are presented under each screen to allow trainees to follow the dialogue easily., Upon successful completion of the e-learning (https://elearning.unescwa.org), the learner will receive a certificate.
Certified individuals will be eligible to enroll in national and regional workshops based on the Gender Statistics Curriculum, organized by certified focal points. Successful trainees will be awarded an additional certificate of
achievement., 
					Target audience
					The Gender Statistics Curriculum, through both tools, aims to enhance knowledge in statistics in general and in gender statistics in particular and build the capacities in the national statistical offices, including the national statistical systems, and a broad range of data providers and users including policymakers, media, nongovernmental organizations, and researchers in national and international agencies.
				, The Gender Statistics Curriculum, through both tools, aims to enhance knowledge in statistics in general and in gender statistics in particular and build the capacities in the national statistical offices, including the national statistical systems, and a broad range of data providers and users including policymakers, media, nongovernmental organizations, and researchers in national and international agencies., 
					Learning objectives
					The E-learning on Gender Statistics aims to enhance the capacities of those concerned in producing and using statistics in general and gender statistics in particular, to understand issues of gender, learn how to link gender issues to gender indicators, calculate gender indicators and how to visualize and present indicators with the aim of providing accurate monitoring of progress towards gender equality and the empowerment of women.
				, The E-learning on Gender Statistics aims to enhance the capacities of those concerned in producing and using statistics in general and gender statistics in particular, to understand issues of gender, learn how to link gender issues to gender indicators, calculate gender indicators and how to visualize and present indicators with the aim of providing accurate monitoring of progress towards gender equality and the empowerment of women."
"196","Measuring Sustainable Development","Sustainable development is the most important global movement of our time. In 2015, the 193 member states of the United Nations unanimously adopted the 2030 Agenda for Sustainable Development and its 17 Sustainable Development Goals. These interconnected Goals aim to end poverty and promote economic prosperity, ensure social equity, and protect the environment. Above all, the 2030 Agenda commits to <U+0093>leaving no one behind.<U+0094> How do we know if we are on track to achieve the SDGs? Which Goals should different countries prioritize? And what kind of data do we need to ensure that everyone is counted?
Launched in 2015 by the Sustainable Development Solutions Network (SDSN) and the Bertelsmann Stiftung, the<U+00A0>Sustainable Development Report<U+00A0>is the first worldwide study to assess where the world stands with regard to achieving sustainable development. The Report contains the SDG Index and Dashboards, which use a combination of official and unofficial data and indicators to understand each country<U+0092>s progress on the 17 SDGs.
In this short course, you will hear from some of the experts responsible for creating the Sustainable Development Report about the value of measuring progress on the SDGs, and how a tool like the SDG Index and Dashboards helps policymakers and other stakeholders make important decisions about their development priorities. You will examine the different types of data that can be used to measure development progress, and learn the technical steps needed to construct an index for the SDGs. Finally, you will explore regional and city-level indices, and discuss new approaches to SDG measurement and data-based decision-making.
											
							Download syllabus
							
									, Sustainable development is the most important global movement of our time. In 2015, the 193 member states of the United Nations unanimously adopted the 2030 Agenda for Sustainable Development and its 17 Sustainable Development Goals. These interconnected Goals aim to end poverty and promote economic prosperity, ensure social equity, and protect the environment. Above all, the 2030 Agenda commits to <U+0093>leaving no one behind.<U+0094> How do we know if we are on track to achieve the SDGs? Which Goals should different countries prioritize? And what kind of data do we need to ensure that everyone is counted?, Launched in 2015 by the Sustainable Development Solutions Network (SDSN) and the Bertelsmann Stiftung, the<U+00A0>Sustainable Development Report<U+00A0>is the first worldwide study to assess where the world stands with regard to achieving sustainable development. The Report contains the SDG Index and Dashboards, which use a combination of official and unofficial data and indicators to understand each country<U+0092>s progress on the 17 SDGs., In this short course, you will hear from some of the experts responsible for creating the Sustainable Development Report about the value of measuring progress on the SDGs, and how a tool like the SDG Index and Dashboards helps policymakers and other stakeholders make important decisions about their development priorities. You will examine the different types of data that can be used to measure development progress, and learn the technical steps needed to construct an index for the SDGs. Finally, you will explore regional and city-level indices, and discuss new approaches to SDG measurement and data-based decision-making., 
					Target audience
					Statisticians<U+00A0>who want to learn how data analysis can create a road map for sustainable development
Advanced undergraduate and graduate students<U+00A0>interested in statistics and data science
Policymakers and professionals<U+00A0>who seek to encourage sustainable development
Development practitioners<U+00A0>who want to understand how data can influence decisions on development
, 
					Learning objectives
					Understand the value of measuring progress on the SDGs and how a tool like the SDG Index and Dashboards helps policymakers and other stakeholders make important decisions about their development priorities.
Examine the different types of data that can be used to measure development progress, and learn the technical steps needed to construct an index for the SDGs.
Explore regional and city-level indices, and discuss new approaches to SDG measurement and data-based decision-making.
"
"197","Ensuring women<U+0092>s legal rights to land ownership and/or control","This course focuses on SDG Indicator 5.a.2 which assesses women<U+0092>s equal rights to land ownership and/or control. The course describes the indicator, explains its rationale and provides countries with step-by-step guidance for conducting the assessment.
The course consists of 8 lessons, ranging from approximately 10 to 35 minutes duration each:
Lesson 1 Introduction
Lesson 2 Identifying data sources
Lesson 3 Assessing Proxy A
Lesson 4 Assessing Proxy B
Lesson 5 Assessing Proxy C
Lesson 6 Assessing Proxy D
Lesson 7 Assessing Proxy E
Lesson 8 Assessing Proxy F
Watch this video to find out more: https://youtu.be/ubNwoFFwrfw
											
							Download syllabus
							
									, This course focuses on SDG Indicator 5.a.2 which assesses women<U+0092>s equal rights to land ownership and/or control. The course describes the indicator, explains its rationale and provides countries with step-by-step guidance for conducting the assessment., The course consists of 8 lessons, ranging from approximately 10 to 35 minutes duration each:, Watch this video to find out more: https://youtu.be/ubNwoFFwrfw, 
					Target audience
					This course is primarily intended for professionals who play a role in the data collection, analysis and reporting on SDG Indicator 5.a.2, as well as for people with an interest in the process.
				, This course is primarily intended for professionals who play a role in the data collection, analysis and reporting on SDG Indicator 5.a.2, as well as for people with an interest in the process., 
					Learning objectives
					You will learn about:
Importance and rationale of Target 5.a of the 2030 Agenda for Sustainable Development
How SDG Indicator 5.a.2 can help monitoring Target 5.a
Reporting process for SDG Indicator 5.a.2
Main steps and the methodology through which a national legal expert should perform the SDG Indicator 5.a.2 assessment process
, You will learn about:"
"198","UNECE Gender Statistics Toolkit","This resource provides participants with the tools required for developing and delivering training on gender statistics. The purpose of the toolkit is to support statistical system efforts to increase the understanding and use of gender statistics among government officials and development practitioners.
The toolkit supplies substantive content for use in training workshops, including user-friendly descriptions of key concepts with real-world examples, hands-on exercises, summary handouts, and PowerPoint presentations. The toolkit also offers practical guidance on running a successful workshop in gender statistics, complete with step-by-step planning advice and a sample workshop agenda.
The toolkit consists of six thematic modules:

Basic skills in gender statistics
Measuring the population
Measuring work and economic activity
Education and training
Health
Power and decision-making in society

The toolkit is available in English and Russian. The toolkit was developed primarily for countries in Eastern Europe, Caucasus and Central Asia, but the materials may be downloaded and adapted for use in any country.
The learning package is available to the public on the UNECE website, and includes PDF and PowerPoint materials.
									, This resource provides participants with the tools required for developing and delivering training on gender statistics. The purpose of the toolkit is to support statistical system efforts to increase the understanding and use of gender statistics among government officials and development practitioners., The toolkit supplies substantive content for use in training workshops, including user-friendly descriptions of key concepts with real-world examples, hands-on exercises, summary handouts, and PowerPoint presentations. The toolkit also offers practical guidance on running a successful workshop in gender statistics, complete with step-by-step planning advice and a sample workshop agenda., The toolkit consists of six thematic modules:, The toolkit is available in English and Russian. The toolkit was developed primarily for countries in Eastern Europe, Caucasus and Central Asia, but the materials may be downloaded and adapted for use in any country., The learning package is available to the public on the UNECE website, and includes PDF and PowerPoint materials., 
					Target audience
					The toolkit supports gender focal points and other individuals delivering training in gender statistics. The toolkit can be used to train a range of audiences, including:
statisticians and staff of national statistical offices
data producers from across the national statistical system (e.g. ministry of health, education, finance)
government officials
politicians and/or their advisors
users of statistics from civil society
academics and researchers
journalists
school and university students
, The toolkit supports gender focal points and other individuals delivering training in gender statistics. The toolkit can be used to train a range of audiences, including:, 
					Learning objectives
					The main objective of the toolkit is to provide facilitators of training in gender statistics with:
practical guidance on planning and delivering a training workshop in gender statistics
short, straight-forward descriptions and real-world examples of key concepts related to gender statistics
hands-on exercises for use in training workshops
ready-made handouts summarizing key points
PowerPoint presentations for use in training workshops
The main objectives of toolkit-based training in gender statistics will vary according to target audience needs, but may include:
increase awareness and understanding of gender statistics
encourage use of gender statistics in policies and programmes
increase capacity to produce and use gender statistics
share national experiences and good practices in producing gender statistics
identify priority areas for future work
, The main objective of the toolkit is to provide facilitators of training in gender statistics with:, The main objectives of toolkit-based training in gender statistics will vary according to target audience needs, but may include:"
"199","E-Training on the Framework for Development of Environmental Statistics (FDES)","This e-training is organized in 7 sessions. At the end of each session, one or two papers or chapters serve as a reading assignment and two to three questions are prepared for the purpose to review what has been learnt. At the completion of the 7 sessions, a final assessment is conducted in about two to three hours to evaluate the level of technical knowledge and skills that participants have gained from the e-learning. 
Content of the training:
<U+00A0>Session 0 <U+00A0> <U+00A0> <U+00A0> <U+00A0> <U+00A0><U+00A0> Opening session 
Session 1 <U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0> Overview of Environmental Statistics 
Session 2 <U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0> Conceptual Foundation and Structure of the FDES; Linking the FDES and the SDGs 
Session 3 <U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0> FDES Component 1: Environmental Conditions and Quality 
Session 4 <U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0> FDES Component 2: Environmental Resources and their Use 
Session 5 <U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0> FDES Component 3: Residuals
Session 6 <U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0> FDES Component 4: Extreme Events and Disasters; FDES Component 5: Human Settlements and Environmental Health 
Session 7 <U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0> FDES Component 6: Environnemental Protection, Management and Engagement; Manual on the Basic Set of Environment Statistics; The Environment Statistics Self-Assessment Tool
<U+00A0>
<U+00A0>
									, This e-training is organized in 7 sessions. At the end of each session, one or two papers or chapters serve as a reading assignment and two to three questions are prepared for the purpose to review what has been learnt. At the completion of the 7 sessions, a final assessment is conducted in about two to three hours to evaluate the level of technical knowledge and skills that participants have gained from the e-learning. , Content of the training:, <U+00A0>Session 0 <U+00A0> <U+00A0> <U+00A0> <U+00A0> <U+00A0><U+00A0> Opening session , Session 1 <U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0> Overview of Environmental Statistics , Session 2 <U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0> Conceptual Foundation and Structure of the FDES; Linking the FDES and the SDGs , Session 3 <U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0> FDES Component 1: Environmental Conditions and Quality , Session 4 <U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0> FDES Component 2: Environmental Resources and their Use , Session 5 <U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0> FDES Component 3: Residuals, Session 6 <U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0> FDES Component 4: Extreme Events and Disasters; FDES Component 5: Human Settlements and Environmental Health , Session 7 <U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0> FDES Component 6: Environnemental Protection, Management and Engagement; Manual on the Basic Set of Environment Statistics; The Environment Statistics Self-Assessment Tool, <U+00A0>, <U+00A0>, 
					Target audience
					Staff from National Statistical Offices and Ministry of Environment
				, Staff from National Statistical Offices and Ministry of Environment, 
					Learning objectives
					the awareness on the importance of the environment statistics is enhanced and good understanding on the FDES is increased.
the technical capacity of the primary target group (i.e. National Statistical Office and Ministry of Environment) to produce environment statistics based on the FDES is built up.
"
"200","SDG Indicator 2.1.2 - Using the Food Insecurity Experience Scale (FIES)","In the context of reporting on the SDG Indicator 2.1.2, this course introduces the Food Insecurity Experience Scale (FIES) and explains how it can be used to measure food security. The course provides guidance on the collection and analysis of data, and on how the information provided by the FIES can be used to inform and guide policy.
This course consists of five lessons, ranging from approximately 25 to 60 minutes duration each:
Lesson 1 Introduction to the Food Insecurity Experience Scale
Lesson 2 Including the FIES in a survey
Lesson 3 Statistical validation of FIES data
Lesson 4 Using FIES data to calculate food insecurity prevalence rates
Lesson 5 Using the FIES to make a difference: presentation and communication of results
Watch this video to find out more: https://youtu.be/yuVIkxEJ_1s
											
							Download syllabus
							
									, In the context of reporting on the SDG Indicator 2.1.2, this course introduces the Food Insecurity Experience Scale (FIES) and explains how it can be used to measure food security. The course provides guidance on the collection and analysis of data, and on how the information provided by the FIES can be used to inform and guide policy., This course consists of five lessons, ranging from approximately 25 to 60 minutes duration each:, Watch this video to find out more: https://youtu.be/yuVIkxEJ_1s, 
					Target audience
					The target audience of this course includes:
Data analysts responsible for working with data to report on SDG Indicator 2.1.2
National statistics officers responsible for planning and implementing data collection and reporting for SDG Indicator 2.1.2
Director level staff responsible for reporting on this SDG Indicator
Policy makers who may use the reported data to inform decisions
, The target audience of this course includes:, 
					Learning objectives
					You will learn about:
Experience-based food security measurement, and its role in the SDGs
How FIES can be included as a module within a range of national level surveys
Basic statistical concepts upon which the FIES is based (especially the Rasch model)
Interpretation of Rasch model outputs and use of FAO Excel template
Effective communication of results to different audiences
, You will learn about:"
"201","Poverty Statistics for SDGs","This e-learning course introduces fundamental knowledge on poverty statistics. It will help participants understand how to compile and monitor Sustainable Development Goals (SDGs) indicators related to poverty. The course comprises five lessons. Each lesson comprise 40 slides and their explanations. Lesson 1 contains the definitions and rationales for poverty statistics. Lesson 2 shows the framework of indicators related to poverty. Lesson 3 depicts more specific methodology on how to measure poverty. Lesson 4 shows specific targets and indicators related to poverty. The last Lesson 5 exemplifies best practices which have much to do with tackling poverty on the globe.
									, This e-learning course introduces fundamental knowledge on poverty statistics. It will help participants understand how to compile and monitor Sustainable Development Goals (SDGs) indicators related to poverty. The course comprises five lessons. Each lesson comprise 40 slides and their explanations. Lesson 1 contains the definitions and rationales for poverty statistics. Lesson 2 shows the framework of indicators related to poverty. Lesson 3 depicts more specific methodology on how to measure poverty. Lesson 4 shows specific targets and indicators related to poverty. The last Lesson 5 exemplifies best practices which have much to do with tackling poverty on the globe."
"202","Survey Skills Development Course","This course was adapted from the Survey Skills Development Course offered by the Statistics Canada. The National School of Statistical Sciences (ENCE) of the Brazilian Institute of Geography and Statistics (IBGE) plans, organizes and implements the course annually. The first course was offered in 1997, and more than 700 people were certified. The content encompasses concepts, methods, planning and implementation stages of a household sample survey. The methodology includes expositive classes as wells as laboratory practices to develop capacity in producing, analyzing and disseminating statistical data. Planning starts by the choice of a client, who proposes a survey theme. ENCE evaluates the relevance of the theme for society and its innovation potential for the learning experience. The client must be a non-profit public organization. Four of the six weeks of the course are turned to the development of the survey project. One week is dedicated to fieldwork, and the last one to data processing and analysis. Class participants are split in five thematic groups: survey theme, questionnaire design, fieldwork planning, sample design, data processing system. The end of the course culminates into the delivery of a final report, which is made public in ENCE<U+0092>s website. Course teaching and monitoring is done by IBGE<U+0092>s employees who are considered a reference in those five areas of the survey project.
									, This course was adapted from the Survey Skills Development Course offered by the Statistics Canada. The National School of Statistical Sciences (ENCE) of the Brazilian Institute of Geography and Statistics (IBGE) plans, organizes and implements the course annually. The first course was offered in 1997, and more than 700 people were certified. The content encompasses concepts, methods, planning and implementation stages of a household sample survey. The methodology includes expositive classes as wells as laboratory practices to develop capacity in producing, analyzing and disseminating statistical data. Planning starts by the choice of a client, who proposes a survey theme. ENCE evaluates the relevance of the theme for society and its innovation potential for the learning experience. The client must be a non-profit public organization. Four of the six weeks of the course are turned to the development of the survey project. One week is dedicated to fieldwork, and the last one to data processing and analysis. Class participants are split in five thematic groups: survey theme, questionnaire design, fieldwork planning, sample design, data processing system. The end of the course culminates into the delivery of a final report, which is made public in ENCE<U+0092>s website. Course teaching and monitoring is done by IBGE<U+0092>s employees who are considered a reference in those five areas of the survey project., 
					Target audience
					civil servants of the statistical system; graduate students from public institutions; reserchers and professors from public institutions
				, civil servants of the statistical system; graduate students from public institutions; reserchers and professors from public institutions, 
					Learning objectives
					Know the main concepts, methods and stages for the planning and implementation of a household sample survey; learn by doing in all the stages of the survey; network with other professionals by experiencing team work; notice how different work routines are connected in the survey project.
				, Know the main concepts, methods and stages for the planning and implementation of a household sample survey; learn by doing in all the stages of the survey; network with other professionals by experiencing team work; notice how different work routines are connected in the survey project."
"203","Fisheries and Aquaculture Statistics","This course will help you understand how to compile and monitor SDG indicators from fisheries and aquaculture statistics. The course comprises six lessons. Each lesson comprises slides and their explanations. The first lesson outlines the Global Strategy to Improve Agricultural and Rural Statistics which provides a framework for national and international statistical systems to produce and to apply the basic data and information needed to guide policy on rural development and sustainable agricultural production. Lesson 2 introduces definition of small-scale fisheries and aquaculture. Lesson 3 depicts indicators of the SDG Goal 14 based on statistics in small-scale fisheries and aquaculture. Lesson 4 outlines international statistical classifications. Lesson 5 highlights on data collection and sampling design. The last lesson focuses on information technology including remote sensing, global positioning system and geographical information system.
									, This course will help you understand how to compile and monitor SDG indicators from fisheries and aquaculture statistics. The course comprises six lessons. Each lesson comprises slides and their explanations. The first lesson outlines the Global Strategy to Improve Agricultural and Rural Statistics which provides a framework for national and international statistical systems to produce and to apply the basic data and information needed to guide policy on rural development and sustainable agricultural production. Lesson 2 introduces definition of small-scale fisheries and aquaculture. Lesson 3 depicts indicators of the SDG Goal 14 based on statistics in small-scale fisheries and aquaculture. Lesson 4 outlines international statistical classifications. Lesson 5 highlights on data collection and sampling design. The last lesson focuses on information technology including remote sensing, global positioning system and geographical information system., 
					Target audience
					Target participants are officials who provide or use fisheries and aquaculture statistics.
				, Target participants are officials who provide or use fisheries and aquaculture statistics., 
					Learning objectives
					By the end of the course, participants will be expected to:
know about securing sustainable small-scale fisheries guidelines, SDGs and other relevant international instruments
sensitize the need for collection of reliable and accurate small-scale fisheries and aquaculture statistics
understand the indicators of small-scale fisheries and aquaculture
build the skills on the use of data to support evidence-based policy
, By the end of the course, participants will be expected to:"
